"ID","starting","grazing","environmt","mort_int","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
178,"high",0.9,0.8,0.1,NA,NA,0,0.809570829170829,0,0.820081069940974,0.0903512487512488,0.909648751248751
183,"high",0,0.4,0.2,NA,NA,0,0,0,0,0.0938353646353646,0.906164635364635
175,"high",0.9,0.5,0.1,NA,NA,0,0.63681038961039,0,0.679333958336261,0.0885106893106893,0.911489310689311
174,"high",0.9,0.4,0.1,NA,NA,0,0.506856743256743,0,0.590389227742674,0.0926701298701299,0.90732987012987
181,"high",0,0.2,0.2,NA,NA,0,0,0,0,0.0881142857142857,0.911885714285714
184,"high",0,0.5,0.2,NA,NA,0,0,0,0,0.0912555444555445,0.908744455544455
180,"high",0.9,1,0.1,0.248138582839146,0.386586586972881,0.501081718281718,0.857974825174825,0.658760290478658,0.863352909491716,0.347173626373626,0.151744655344655
186,"high",0,0.7,0.2,0.2,0.2,0.51297022977023,0.526437562437562,0.588571159874014,0.597746250583517,0.368732867132867,0.118296903096903
182,"high",0,0.3,0.2,NA,NA,0,0,0,0,0.0920615384615385,0.907938461538462
187,"high",0,0.8,0.2,0.2,0.2,0.610113886113886,0.604103496503496,0.656674575493442,0.654080584816152,0.315478921078921,0.0744071928071928
185,"high",0,0.6,0.2,0.2,0.2,0.371149250749251,0.360125874125874,0.507801722845834,0.50052609035493,0.409082917082917,0.219767832167832
189,"high",0,1,0.2,0.2,0.2,0.707281518481518,0.70206993006993,0.731842407712504,0.728403566674659,0.247676723276723,0.0450417582417582
190,"high",0.1,0.2,0.2,NA,NA,0,0,0,0,0.092630969030969,0.907369030969031
188,"high",0,0.9,0.2,0.2,0.2,0.660191008991009,0.660105894105894,0.694773035438551,0.694607357445586,0.28199000999001,0.057818981018981
192,"high",0.1,0.4,0.2,NA,NA,0,0,0,0,0.0928639360639361,0.907136063936064
193,"high",0.1,0.5,0.2,NA,NA,0,0,0,0,0.0908171828171828,0.909182817182817
195,"high",0.1,0.7,0.2,0.223090449646966,0.234522277815381,0.410396003996004,0.512475124875125,0.535561128504901,0.58805495533966,0.401797402597403,0.187806593406593
196,"high",0.1,0.8,0.2,0.219023054150057,0.232460630858011,0.540628171828172,0.605778221778222,0.618247356607648,0.651559824004787,0.351613586413586,0.107758241758242
191,"high",0.1,0.3,0.2,NA,NA,0,0,0,0,0.0893886113886114,0.910611388611389
194,"high",0.1,0.6,0.2,0.229650364782716,0.23827522544056,0.00371508491508491,0.3736999000999,0.398861590088436,0.510421780784879,0.0983872127872128,0.897897702297702
198,"high",0.1,1,0.2,0.214201834089992,0.230082248399089,0.678120679320679,0.703398601398601,0.714026187770797,0.729883406575471,0.268583416583417,0.0532959040959041
197,"high",0.1,0.9,0.2,0.216346607132829,0.231056158251932,0.623024975024975,0.658722477522477,0.672352924227694,0.694845500986455,0.305436963036963,0.0715380619380619
199,"high",0.2,0.2,0.2,NA,NA,0,0,0,0,0.0953078921078921,0.904692107892108
201,"high",0.2,0.4,0.2,NA,NA,0,0,0,0,0.0891076923076923,0.910892307692308
200,"high",0.2,0.3,0.2,NA,NA,0,0,0,0,0.0933230769230769,0.906676923076923
205,"high",0.2,0.8,0.2,0.242725139691023,0.267397101797099,0.452514685314685,0.60863976023976,0.571953724767312,0.655028487391731,0.3860995004995,0.161385814185814
202,"high",0.2,0.5,0.2,NA,NA,0,0,0,0,0.0914993006993007,0.908500699300699
209,"high",0.3,0.3,0.2,NA,NA,0,0,0,0,0.0890709290709291,0.910929070929071
204,"high",0.2,0.7,0.2,0.266224235529332,0.278768188709072,0.00455144855144855,0.511542457542458,0.335593226066722,0.589059075833796,0.100706493506494,0.894742057942058
207,"high",0.2,1,0.2,0.231146994948016,0.261497757647609,0.636855544455544,0.706462337662338,0.687795014759945,0.730873133488948,0.296583816183816,0.0665606393606394
206,"high",0.2,0.9,0.2,0.235731278699158,0.263570208099924,0.573184415584416,0.660420779220779,0.641561916951192,0.694204191091908,0.337579220779221,0.0892363636363636
211,"high",0.3,0.5,0.2,NA,NA,0,0,0,0,0.0919488511488512,0.908051148851149
203,"high",0.2,0.6,0.2,NA,NA,0,0.366394405594406,0,0.503322639840689,0.0921626373626374,0.907837362637363
210,"high",0.3,0.4,0.2,NA,NA,0,0,0,0,0.0880487512487513,0.911951248751249
212,"high",0.3,0.6,0.2,NA,NA,0,0.389305094905095,0,0.511198328643456,0.0875684315684316,0.912431568431568
213,"high",0.3,0.7,0.2,NA,NA,0,0.513600799200799,0,0.589913760945525,0.0913478521478522,0.908652147852148
208,"high",0.3,0.2,0.2,NA,NA,0,0,0,0,0.0871476523476523,0.912852347652348
217,"high",0.4,0.2,0.2,NA,NA,0,0,0,0,0.0868763236763237,0.913123676323676
215,"high",0.3,0.9,0.2,0.258092574649206,0.297815971462557,0.507128871128871,0.667594005994006,0.606731432900853,0.700508977826906,0.367974025974026,0.124897102897103
216,"high",0.3,1,0.2,0.250938513959703,0.294145581354059,0.589564835164835,0.703309090909091,0.658255031474545,0.730790411907541,0.324844755244755,0.0855904095904096
218,"high",0.4,0.3,0.2,NA,NA,0,0,0,0,0.0926353646353646,0.907364635364635
214,"high",0.3,0.8,0.2,0.276652903593492,0.308681723522744,0.255188411588412,0.604932267732268,0.488860416588383,0.652060379898711,0.366724075924076,0.378087512487512
219,"high",0.4,0.4,0.2,NA,NA,0,0,0,0,0.088642957042957,0.911357042957043
224,"high",0.4,0.9,0.2,0.288876430618167,0.337200167679704,0.385865334665335,0.658552247752248,0.547829802671142,0.695029674467289,0.396241758241758,0.217892907092907
223,"high",0.4,0.8,0.2,NA,NA,0,0.604781618381618,0,0.652207660724538,0.0905722277722278,0.909427772227772
227,"high",0.5,0.3,0.2,NA,NA,0,0,0,0,0.0930677322677323,0.906932267732268
222,"high",0.4,0.7,0.2,NA,NA,0,0.513643956043956,0,0.588553783028053,0.0898773226773227,0.910122677322677
221,"high",0.4,0.6,0.2,NA,NA,0,0.375354645354645,0,0.509136434805776,0.0871016983016983,0.912898301698302
225,"high",0.4,1,0.2,0.272840101968166,0.328895567393914,0.53108971028971,0.703551648351648,0.630150355869535,0.729128737981027,0.352945454545455,0.115964835164835
231,"high",0.5,0.7,0.2,NA,NA,0,0.518482717282717,0,0.591446786972974,0.0848047952047952,0.915195204795205
226,"high",0.5,0.2,0.2,NA,NA,0,0,0,0,0.0878365634365634,0.912163436563437
220,"high",0.4,0.5,0.2,NA,NA,0,0,0,0,0.0897962037962038,0.910203796203796
229,"high",0.5,0.5,0.2,NA,NA,0,0,0,0,0.0951436563436563,0.904856343656344
234,"high",0.5,1,0.2,0.302628829973002,0.366750825113812,0.451497702297702,0.706882317682318,0.582259452462058,0.732051559550634,0.38881958041958,0.159682717282717
228,"high",0.5,0.4,0.2,NA,NA,0,0,0,0,0.0962813186813187,0.903718681318681
233,"high",0.5,0.9,0.2,NA,NA,0,0.660372027972028,0,0.69653253751096,0.0927156843156843,0.907284315684316
230,"high",0.5,0.6,0.2,NA,NA,0,0.36910969030969,0,0.50201907074871,0.0899868131868132,0.910013186813187
237,"high",0.6,0.4,0.2,NA,NA,0,0,0,0,0.0940723276723277,0.905927672327672
239,"high",0.6,0.6,0.2,NA,NA,0,0.37098021978022,0,0.503538796827251,0.0903240759240759,0.909675924075924
232,"high",0.5,0.8,0.2,NA,NA,0,0.601030569430569,0,0.651485843927099,0.0878645354645355,0.912135464535465
235,"high",0.6,0.2,0.2,NA,NA,0,0,0,0,0.08676003996004,0.91323996003996
238,"high",0.6,0.5,0.2,NA,NA,0,0,0,0,0.0909258741258741,0.909074125874126
236,"high",0.6,0.3,0.2,NA,NA,0,0,0,0,0.0913318681318681,0.908668131868132
241,"high",0.6,0.8,0.2,NA,NA,0,0.599173226773227,0,0.651245740409412,0.0898653346653347,0.910134665334665
242,"high",0.6,0.9,0.2,NA,NA,0,0.657014185814186,0,0.692362841078807,0.0879956043956044,0.912004395604396
240,"high",0.6,0.7,0.2,NA,NA,0,0.515941258741259,0,0.588495099827737,0.0924979020979021,0.907502097902098
245,"high",0.7,0.3,0.2,NA,NA,0,0,0,0,0.090443956043956,0.909556043956044
249,"high",0.7,0.7,0.2,NA,NA,0,0.510964235764236,0,0.587406382624907,0.0901074925074925,0.909892507492507
244,"high",0.7,0.2,0.2,NA,NA,0,0,0,0,0.0908371628371628,0.909162837162837
243,"high",0.6,1,0.2,NA,NA,0,0.701916883116883,0,0.728830014016189,0.0917202797202797,0.90827972027972
248,"high",0.7,0.6,0.2,NA,NA,0,0.375012187812188,0,0.508581223666458,0.0825374625374625,0.917462537462537
247,"high",0.7,0.5,0.2,NA,NA,0,0,0,0,0.0875288711288711,0.912471128871129
250,"high",0.7,0.8,0.2,NA,NA,0,0.601502097902098,0,0.65109297991695,0.0893346653346653,0.910665334665335
246,"high",0.7,0.4,0.2,NA,NA,0,0,0,0,0.0890317682317682,0.910968231768232
253,"high",0.8,0.2,0.2,NA,NA,0,0,0,0,0.0919488511488512,0.908051148851149
258,"high",0.8,0.7,0.2,NA,NA,0,0.521987612387612,0,0.594322520806667,0.0902977022977023,0.909702297702298
257,"high",0.8,0.6,0.2,NA,NA,0,0.36886993006993,0,0.50242097007692,0.0947988011988012,0.905201198801199
254,"high",0.8,0.3,0.2,NA,NA,0,0,0,0,0.0917486513486513,0.908251348651349
252,"high",0.7,1,0.2,NA,NA,0,0.705279120879121,0,0.73053257517538,0.0904411588411588,0.909558841158841
251,"high",0.7,0.9,0.2,NA,NA,0,0.661226373626374,0,0.69647791635267,0.0944527472527473,0.905547252747253
256,"high",0.8,0.5,0.2,NA,NA,0,0,0,0,0.0889822177822178,0.911017782217782
255,"high",0.8,0.4,0.2,NA,NA,0,0,0,0,0.089838961038961,0.910161038961039
259,"high",0.8,0.8,0.2,NA,NA,0,0.596203796203796,0,0.646707312515133,0.090551048951049,0.909448951048951
260,"high",0.8,0.9,0.2,NA,NA,0,0.658741258741259,0,0.69408049224831,0.0927204795204795,0.90727952047952
261,"high",0.8,1,0.2,NA,NA,0,0.704132267732268,0,0.729764883189367,0.091038961038961,0.908961038961039
266,"high",0.9,0.6,0.2,NA,NA,0,0.389803396603397,0,0.517497193041336,0.0954797202797203,0.90452027972028
262,"high",0.9,0.2,0.2,NA,NA,0,0,0,0,0.0881518481518482,0.911848151848152
264,"high",0.9,0.4,0.2,NA,NA,0,0,0,0,0.0893998001998002,0.9106001998002
263,"high",0.9,0.3,0.2,NA,NA,0,0,0,0,0.0914565434565435,0.908543456543457
267,"high",0.9,0.7,0.2,NA,NA,0,0.517048551448551,0,0.591682934097593,0.0886405594405594,0.911359440559441
269,"high",0.9,0.9,0.2,NA,NA,0,0.657965234765235,0,0.693398701644538,0.0876783216783217,0.912321678321678
268,"high",0.9,0.8,0.2,NA,NA,0,0.601423376623377,0,0.650642657451654,0.0868351648351648,0.913164835164835
265,"high",0.9,0.5,0.2,NA,NA,0,0,0,0,0.0862637362637363,0.913736263736264
274,"high",0,0.5,0.3,NA,NA,0,0,0,0,0.0902785214785215,0.909721478521479
270,"high",0.9,1,0.2,NA,NA,0,0.703061738261738,0,0.730103274921112,0.0882005994005994,0.911799400599401
275,"high",0,0.6,0.3,NA,NA,0,0,0,0,0.0933210789210789,0.906678921078921
273,"high",0,0.4,0.3,NA,NA,0,0,0,0,0.0875340659340659,0.912465934065934
276,"high",0,0.7,0.3,NA,NA,0,0,0,0,0.0904743256743257,0.909525674325674
277,"high",0,0.8,0.3,NA,NA,0,0.0480771228771229,0,0.385172721993874,0.0934837162837163,0.906516283716284
271,"high",0,0.2,0.3,NA,NA,0,0,0,0,0.0905106893106893,0.909489310689311
279,"high",0,1,0.3,0.3,0.3,0.517319080919081,0.53063016983017,0.59013233097187,0.597465242979073,0.372119080919081,0.110561838161838
272,"high",0,0.3,0.3,NA,NA,0,0,0,0,0.0937794205794206,0.906220579420579
278,"high",0,0.9,0.3,0.3,0.3,0.409986013986014,0.436344855144855,0.522079377605687,0.539308165516568,0.411106893106893,0.178907092907093
280,"high",0.1,0.2,0.3,NA,NA,0,0,0,0,0.0912127872127872,0.908787212787213
285,"high",0.1,0.7,0.3,NA,NA,0,0,0,0,0.0885514485514486,0.911448551448551
281,"high",0.1,0.3,0.3,NA,NA,0,0,0,0,0.0920483516483517,0.907951648351648
283,"high",0.1,0.5,0.3,NA,NA,0,0,0,0,0.0887084915084915,0.911291508491509
282,"high",0.1,0.4,0.3,NA,NA,0,0,0,0,0.0922841158841159,0.907715884115884
287,"high",0.1,0.9,0.3,0.327352391763919,0.337214016839074,0.204087112887113,0.43283996003996,0.446423202783211,0.535617843799189,0.349784215784216,0.446128671328671
284,"high",0.1,0.6,0.3,NA,NA,0,0,0,0,0.0886817182817183,0.911318281718282
286,"high",0.1,0.8,0.3,NA,NA,0,0.0347912087912088,0,0.389795789726482,0.090628971028971,0.909371028971029
289,"high",0.2,0.2,0.3,NA,NA,0,0,0,0,0.0932255744255744,0.906774425574426
293,"high",0.2,0.6,0.3,NA,NA,0,0,0,0,0.0906133866133866,0.909386613386613
290,"high",0.2,0.3,0.3,NA,NA,0,0,0,0,0.0876775224775225,0.912322477522478
288,"high",0.1,1,0.3,0.322166601497445,0.33403505450153,0.455638361638362,0.520268931068931,0.555740336881642,0.590732769077563,0.398881518481518,0.14548011988012
295,"high",0.2,0.8,0.3,NA,NA,0,0.168898701298701,0,0.424980195799071,0.0881062937062937,0.911893706293706
297,"high",0.2,1,0.3,0.34982357059163,0.37149674746805,0.328927472527473,0.526218981018981,0.499414027739704,0.595670765655679,0.412535064935065,0.258537462537463
291,"high",0.2,0.4,0.3,NA,NA,0,0,0,0,0.0896939060939061,0.910306093906094
294,"high",0.2,0.7,0.3,NA,NA,0,0,0,0,0.0854137862137862,0.914586213786214
292,"high",0.2,0.5,0.3,NA,NA,0,0,0,0,0.0894997002997003,0.9105002997003
296,"high",0.2,0.9,0.3,NA,NA,0,0.433831368631369,0,0.53654116160239,0.087414985014985,0.912585014985015
298,"high",0.3,0.2,0.3,NA,NA,0,0,0,0,0.0896195804195804,0.91038041958042
300,"high",0.3,0.4,0.3,NA,NA,0,0,0,0,0.0929018981018981,0.907098101898102
302,"high",0.3,0.6,0.3,NA,NA,0,0,0,0,0.0948615384615385,0.905138461538462
299,"high",0.3,0.3,0.3,NA,NA,0,0,0,0,0.0925734265734266,0.907426573426573
303,"high",0.3,0.7,0.3,NA,NA,0,0,0,0,0.0879516483516484,0.912048351648352
304,"high",0.3,0.8,0.3,NA,NA,0,0,0,0,0.0873274725274725,0.912672527472527
301,"high",0.3,0.5,0.3,NA,NA,0,0,0,0,0.092037962037962,0.907962037962038
311,"high",0.4,0.6,0.3,NA,NA,0,0,0,0,0.0937062937062937,0.906293706293706
306,"high",0.3,1,0.3,NA,NA,0,0.520694105894106,0,0.59246024115841,0.0901366633366633,0.909863336663337
308,"high",0.4,0.3,0.3,NA,NA,0,0,0,0,0.0874705294705295,0.912529470529471
307,"high",0.4,0.2,0.3,NA,NA,0,0,0,0,0.0902265734265734,0.909773426573427
305,"high",0.3,0.9,0.3,NA,NA,0,0.433388611388611,0,0.539645073511225,0.0919384615384615,0.908061538461538
309,"high",0.4,0.4,0.3,NA,NA,0,0,0,0,0.0927576423576424,0.907242357642358
312,"high",0.4,0.7,0.3,NA,NA,0,0,0,0,0.0864887112887113,0.913511288711289
310,"high",0.4,0.5,0.3,NA,NA,0,0,0,0,0.0868515484515485,0.913148451548452
315,"high",0.4,1,0.3,NA,NA,0,0.524167432567433,0,0.596238249621416,0.0935480519480519,0.906451948051948
316,"high",0.5,0.2,0.3,NA,NA,0,0,0,0,0.0886645354645355,0.911335464535465
313,"high",0.4,0.8,0.3,NA,NA,0,0.0670593406593407,0,0.381366267641279,0.0942757242757243,0.905724275724276
317,"high",0.5,0.3,0.3,NA,NA,0,0,0,0,0.0907808191808192,0.909219180819181
314,"high",0.4,0.9,0.3,NA,NA,0,0.444367232767233,0,0.540829343576179,0.0889222777222777,0.911077722277722
318,"high",0.5,0.4,0.3,NA,NA,0,0,0,0,0.0901386613386613,0.909861338661339
320,"high",0.5,0.6,0.3,NA,NA,0,0,0,0,0.0883524475524475,0.911647552447552
319,"high",0.5,0.5,0.3,NA,NA,0,0,0,0,0.0894581418581419,0.910541858141858
321,"high",0.5,0.7,0.3,NA,NA,0,0,0,0,0.091793006993007,0.908206993006993
328,"high",0.6,0.5,0.3,NA,NA,0,0,0,0,0.0905902097902098,0.90940979020979
326,"high",0.6,0.3,0.3,NA,NA,0,0,0,0,0.0926137862137862,0.907386213786214
325,"high",0.6,0.2,0.3,NA,NA,0,0,0,0,0.0863108891108891,0.913689110889111
323,"high",0.5,0.9,0.3,NA,NA,0,0.434100699300699,0,0.539084915559248,0.0930733266733267,0.906926673326673
324,"high",0.5,1,0.3,NA,NA,0,0.519453746253746,0,0.590706410799953,0.0921806193806194,0.907819380619381
327,"high",0.6,0.4,0.3,NA,NA,0,0,0,0,0.0896603396603397,0.91033966033966
322,"high",0.5,0.8,0.3,NA,NA,0,0.00726153846153846,0,0.271869980699334,0.0931404595404595,0.90685954045954
334,"high",0.7,0.2,0.3,NA,NA,0,0,0,0,0.0863808191808192,0.913619180819181
329,"high",0.6,0.6,0.3,NA,NA,0,0,0,0,0.0940091908091908,0.905990809190809
337,"high",0.7,0.5,0.3,NA,NA,0,0,0,0,0.0910701298701299,0.90892987012987
332,"high",0.6,0.9,0.3,NA,NA,0,0.422006793206793,0,0.531607070135939,0.094027972027972,0.905972027972028
330,"high",0.6,0.7,0.3,NA,NA,0,0,0,0,0.0926005994005994,0.907399400599401
336,"high",0.7,0.4,0.3,NA,NA,0,0,0,0,0.092244955044955,0.907755044955045
